step_idx,stage_start,stage_len,tilt_z,baseline_z,deviation_z,max_deviation_z,moved,returned,axis_x_tilt,axis_y_tilt,axis_z_tilt
270,208,62,1.66386860,1.69959128,0.03572268,0.08019722,0,0,1.61000823,0.10103931,1.66386860
271,208,63,1.66426021,1.69959128,0.03533107,0.08019722,0,0,1.60972034,0.10128890,1.66426021
272,208,64,1.66420586,1.69959128,0.03538542,0.08019722,0,0,1.60954588,0.10117136,1.66420586
273,208,65,1.66361877,1.69959128,0.03597251,0.08019722,0,0,1.60946192,0.10059653,1.66361877
274,208,66,1.66325233,1.69959128,0.03633894,0.08019722,0,0,1.60931381,0.10020082,1.66325233
275,208,67,1.66376169,1.69959128,0.03582959,0.08019722,0,0,1.60895055,0.10053223,1.66376169
276,208,68,1.66359537,1.69959128,0.03599590,0.08019722,0,0,1.60871246,0.10028753,1.66359537
277,208,69,1.66341828,1.69959128,0.03617300,0.08019722,0,0,1.60863483,0.10009398,1.66341828
278,208,70,1.66331232,1.69959128,0.03627896,0.08019722,0,0,1.60862755,0.09999307,1.66331232
279,208,71,1.66331521,1.69959128,0.03627607,0.08019722,0,0,1.60843765,0.09992365,1.66331521
280,208,72,1.66305259,1.69959128,0.03653869,0.08019722,0,0,1.60837402,0.09965616,1.66305259
281,208,73,1.66373224,1.69959128,0.03585904,0.08019722,0,0,1.60826033,0.10024348,1.66373224
282,208,74,1.66535193,1.69959128,0.03423935,0.08019722,0,0,1.60779510,0.10157692,1.66535193
283,208,75,1.66750247,1.69959128,0.03208881,0.08019722,0,0,1.60709381,0.10333364,1.66750247
284,208,76,1.66852689,1.69959128,0.03106439,0.08019722,0,0,1.60667986,0.10414956,1.66852689
285,208,77,1.66895896,1.69959128,0.03063232,0.08019722,0,0,1.60622387,0.10439884,1.66895896
286,208,78,1.67141918,1.69959128,0.02817210,0.08019722,0,0,1.60637929,0.10676937,1.67141918
287,208,79,1.67422256,1.69959128,0.02536872,0.08019722,0,0,1.60750957,0.10979305,1.67422256
288,208,80,1.67635759,1.69959128,0.02323369,0.08019722,0,0,1.60850934,0.11214312,1.67635759
289,208,81,1.67785871,1.69959128,0.02173257,0.08019722,0,0,1.60935158,0.11384327,1.67785871
290,208,82,1.67920420,1.69959128,0.02038708,0.08019722,0,0,1.61033926,0.11544799,1.67920420
291,208,83,1.68054690,1.69959128,0.01904438,0.08019722,0,0,1.61148895,0.11710876,1.68054690
292,208,84,1.68232230,1.69959128,0.01726898,0.08019722,0,0,1.61255039,0.11914696,1.68232230
293,208,85,1.68453435,1.69959128,0.01505693,0.08019722,0,0,1.61344550,0.12153636,1.68453435
294,208,86,1.68668107,1.69959128,0.01291021,0.08019722,0,0,1.61432570,0.12385946,1.68668107
295,208,87,1.68851586,1.69959128,0.01107542,0.08019722,0,0,1.61499727,0.12581652,1.68851586
296,208,88,1.69106878,1.69959128,0.00852250,0.08019722,0,0,1.61576853,0.12848198,1.69106878
297,208,89,1.69285142,1.69959128,0.00673986,0.08019722,0,0,1.61661505,0.13045236,1.69285142
298,208,90,1.69481998,1.69959128,0.00477130,0.08019722,0,0,1.61750700,0.13261340,1.69481998
299,208,91,1.69638003,1.69959128,0.00321125,0.08019722,0,0,1.61861502,0.13446985,1.69638003
300,208,92,1.69823386,1.69959128,0.00135742,0.08019722,0,0,1.61920423,0.13641569,1.69823386
301,208,93,1.70063130,1.69959128,0.00104002,0.08019722,0,0,1.61996577,0.13893225,1.70063130
302,208,94,1.70128313,1.69959128,0.00169185,0.08019722,0,0,1.62039479,0.13969608,1.70128313
303,208,95,1.70188118,1.69959128,0.00228990,0.08019722,0,0,1.62054160,0.14030838,1.70188118
304,208,96,1.70281584,1.69959128,0.00322456,0.08019722,0,0,1.62077653,0.14126737,1.70281584
305,208,97,1.70372817,1.69959128,0.00413689,0.08019722,0,0,1.62129319,0.14230648,1.70372817
306,208,98,1.70448719,1.69959128,0.00489591,0.08019722,0,0,1.62182931,0.14320944,1.70448719
307,208,99,1.70523581,1.69959128,0.00564453,0.08019722,0,0,1.62226812,0.14406789,1.70523581
308,208,100,1.70661262,1.69959128,0.00702134,0.08019722,0,0,1.62288021,0.14557640,1.70661262
309,208,101,1.70625326,1.69959128,0.00666198,0.08019722,0,0,1.62315035,0.14533887,1.70625326
310,208,102,1.70557761,1.69959128,0.00598633,0.08019722,0,0,1.62317104,0.14471577,1.70557761
311,208,103,1.70542615,1.69959128,0.00583487,0.08019722,0,0,1.62310330,0.14454963,1.70542615
312,208,104,1.70557584,1.69959128,0.00598456,0.08019722,0,0,1.62293559,0.14462803,1.70557584
313,208,105,1.70529168,1.69959128,0.00570040,0.08019722,0,0,1.62278362,0.14430728,1.70529168
314,208,106,1.70489572,1.69959128,0.00530444,0.08019722,0,0,1.62273689,0.14392056,1.70489572
315,208,107,1.70616802,1.69959128,0.00657674,0.08019722,0,0,1.62244444,0.14500322,1.70616802
316,208,108,1.70933045,1.69959128,0.00973917,0.08019722,0,0,1.62184914,0.14775582,1.70933045
317,208,109,1.71189232,1.69959128,0.01230104,0.08019722,0,0,1.62133528,0.14998841,1.71189232
318,208,110,1.71399679,1.69959128,0.01440552,0.08019722,0,0,1.62095651,0.15184593,1.71399679
319,208,111,1.71553850,1.69959128,0.01594722,0.08019722,0,0,1.62056317,0.15317313,1.71553850
320,208,112,1.71712310,1.69959128,0.01753182,0.08019722,0,0,1.62011954,0.15452968,1.71712310
321,208,113,1.71893957,1.69959128,0.01934829,0.08019722,0,0,1.61968699,0.15611563,1.71893957
322,208,114,1.72024183,1.69959128,0.02065055,0.08019722,0,0,1.61922943,0.15721023,1.72024183
323,208,115,1.72131317,1.69959128,0.02172189,0.08019722,0,0,1.61878909,0.15809435,1.72131317
324,208,116,1.72228419,1.69959128,0.02269291,0.08019722,0,0,1.61845789,0.15891937,1.72228419
325,208,117,1.72334189,1.69959128,0.02375061,0.08019722,0,0,1.61849524,0.15994079,1.72334189
