task_id	ep	seed	score_pct	tsr_success	stage_success	goal_success
14	0	104	60.0	N	N	N
14	1	105	0.0	N	N	N
14	2	106	100.0	Y	Y	Y
14	3	107	20.0	N	N	N
14	4	108	80.0	N	N	N
14	5	109	20.0	N	N	N
14	6	110	60.0	N	N	N
14	7	111	100.0	Y	Y	Y
14	8	112	20.0	N	N	N
14	9	113	0.0	N	N	N
14	10	114	60.0	N	N	N
14	11	115	20.0	N	N	N
14	12	116	0.0	N	N	N
14	13	117	20.0	N	N	N
14	14	118	80.0	N	N	N
14	15	119	80.0	N	N	N
14	16	120	80.0	N	N	N
14	17	121	0.0	N	N	N
14	18	122	20.0	N	N	N
14	19	123	20.0	N	N	N
